UID,Country_Region,Date,ConfirmedCases,Fatalities
84013307,US,8/8/21,13566063,220469
84013309,US,8/9/21,13618994,220600
84013311,US,8/10/21,13666793,220849
84013313,US,8/11/21,13727977,221051
84013315,US,8/12/21,13790070,221625
84013317,US,8/13/21,13926733,222106
84013319,US,8/14/21,13946557,222187
84013321,US,8/15/21,13969975,222273
84099999,US,8/16/21,14043905,222767
316,US,8/17/21,14107346,223030
84015001,US,8/18/21,14174274,223392
84015003,US,8/19/21,14237049,224487
84015005,US,8/20/21,14371658,225101
84015007,US,8/21/21,14398740,225316
84015009,US,8/22/21,14417678,225364
84080015,US,8/23/21,14495720,226043
84090015,US,8/24/21,14554823,226368
84016001,US,8/25/21,14621008,226716
84016003,US,8/26/21,14702198,228074
84016005,US,8/27/21,14827374,228799
84016007,US,8/28/21,14855461,229055
84016009,US,8/29/21,14875182,229112
84016011,US,8/30/21,14956031,229932
84016013,US,8/31/21,15031817,230391
84016015,US,9/1/21,15099203,230893
84016017,US,9/2/21,15168400,232725
84016019,US,9/3/21,15281650,233640
84016021,US,9/4/21,15307969,233820
84016023,US,9/5/21,15327229,233906
84016025,US,9/6/21,15348460,233993
84016027,US,9/7/21,15427484,235135
84016029,US,9/8/21,15480150,235687
84016031,US,9/9/21,15532143,237572
84016033,US,9/10/21,15644213,238672
84016035,US,9/11/21,15667953,238923
84016037,US,9/12/21,15684515,238985
84016039,US,9/13/21,15744073,239945
84016041,US,9/14/21,15783379,240640
84016043,US,9/15/21,15830877,241392
84016045,US,9/16/21,15879988,243556
84016047,US,9/17/21,15972915,244606
84016049,US,9/18/21,15993964,245052
84016051,US,9/19/21,16008489,245134
84016053,US,9/20/21,16053911,246226
84016055,US,9/21/21,16086593,247026
84016057,US,9/22/21,16116212,247815
84016059,US,9/23/21,16153463,249749
84016061,US,9/24/21,16231767,250753
84016063,US,9/25/21,16244602,250969
84016065,US,9/26/21,16269420,251155
84016067,US,9/27/21,16309922,252235
84016069,US,9/28/21,16334568,252962
84016071,US,9/29/21,16363192,253552
84080016,US,9/30/21,16395016,255053
84016073,US,10/1/21,16457557,255878
84016075,US,10/2/21,16468029,256135
84016077,US,10/3/21,16489159,256337
84016079,US,10/4/21,16524760,257094
84016081,US,10/5/21,16548766,257707
84016083,US,10/6/21,16569722,258382
84090016,US,10/7/21,16598931,259750
84016085,US,10/8/21,16646510,260501
84016087,US,10/9/21,16656026,260687
84017001,US,10/10/21,16674394,261013
84017003,US,10/11/21,16691993,261312
84017005,US,10/12/21,16723594,262522
84017007,US,10/13/21,16745734,263057
84017009,US,10/14/21,16769897,264041
84017011,US,10/15/21,16809079,264667
84017013,US,10/16/21,16816091,264740
84017015,US,10/17/21,16832012,264944
84017017,US,10/18/21,16856398,265663
84017019,US,10/19/21,16880955,266674
84017021,US,10/20/21,16901522,267231
84017023,US,10/21/21,16924619,268162
84017025,US,10/22/21,16958902,268916
84017027,US,10/23/21,16967336,269031
84017029,US,10/24/21,16972236,269070
84017031,US,10/25/21,17012729,269602
84017033,US,10/26/21,17029483,270187
84017035,US,10/27/21,17061214,270680
84017039,US,10/28/21,17086608,271595
84017037,US,10/29/21,17117606,272247
84017041,US,10/30/21,17125319,272367
84017043,US,10/31/21,17143353,272393
84017045,US,11/1/21,17173766,272891
84017047,US,11/2/21,17190128,273238
84017049,US,11/3/21,17210151,273722
84017051,US,11/4/21,17237197,274129
84017053,US,11/5/21,17267590,275293
84017055,US,11/6/21,17276513,275446
84017057,US,11/7/21,17294368,275488
84017059,US,11/8/21,17324815,275935
84017061,US,11/9/21,17345173,276421
84017063,US,11/10/21,17368411,276889
84017065,US,11/11/21,17383426,277107
84017067,US,11/12/21,17428181,277788
84017069,US,11/13/21,17439294,278006
84017071,US,11/14/21,17451334,278020
84017073,US,11/15/21,17483288,278471
84017075,US,11/16/21,17504669,278839
84017077,US,11/17/21,17530048,279237
84017079,US,11/18/21,17558614,279680
84017081,US,11/19/21,17594344,280397
84017083,US,11/20/21,17603720,280501
84017085,US,11/21/21,17618598,280516
84017087,US,11/22/21,17658234,280988
84017089,US,11/23/21,17680171,281419
84017091,US,11/24/21,17702101,281821
84017093,US,11/25/21,17710158,281955
84017095,US,11/26/21,17720893,282017
84017099,US,11/27/21,17726822,282097
84017097,US,11/28/21,17744886,282112
84017101,US,11/29/21,17794513,283020
84017103,US,11/30/21,17828746,283484
84017105,US,12/1/21,17857235,283932
84017107,US,12/2/21,17895604,284345
84017115,US,12/3/21,17935503,284743
84017117,US,12/4/21,17946428,284966
84017119,US,12/5/21,17966718,285015
84017121,US,12/6/21,18021526,285404
84017123,US,12/7/21,18049192,285973
84017125,US,12/8/21,18080449,286295
84017127,US,12/9/21,18114139,286909
84017109,US,12/10/21,18157347,287374
84017111,US,12/11/21,18165631,287518
84017113,US,12/12/21,18182999,287551
84017129,US,12/13/21,18237534,287958
84017131,US,12/14/21,18267081,288497
84017133,US,12/15/21,18299914,288940
84017135,US,12/16/21,18337310,289365
84017137,US,12/17/21,18401868,289924
84017139,US,12/18/21,18412508,290027
84017141,US,12/19/21,18434691,290055
84080017,US,12/20/21,18510356,290547
84017143,US,12/21/21,18561735,291199
84017145,US,12/22/21,18638365,291641
84017147,US,12/23/21,18739727,292027
84017149,US,12/24/21,18853841,292290
84017151,US,12/25/21,18864587,292378
84017153,US,12/26/21,18889508,292398
84017155,US,12/27/21,19114593,292782
84017157,US,12/28/21,19235900,293352
84017159,US,12/29/21,19401819,293833
84017161,US,12/30/21,19641151,294303
84017165,US,12/31/21,19862959,294546
84017167,US,1/1/22,19883207,294707
84017169,US,1/2/22,19952749,294727
84017171,US,1/3/22,20295651,295073
84017173,US,1/4/22,20672840,295826
84017163,US,1/5/22,20851654,296201
84017175,US,1/6/22,21205817,296707
84017177,US,1/7/22,21511639,297514
84017179,US,1/8/22,21618538,297714
84090017,US,1/9/22,21852158,297799
84017181,US,1/10/22,22442896,298609
84017183,US,1/11/22,22772938,299256
84017185,US,1/12/22,23100190,299790
84017187,US,1/13/22,23445128,300549
84017189,US,1/14/22,23703004,301338
84017191,US,1/15/22,23818203,301461
84017193,US,1/16/22,24093092,301715
84017195,US,1/17/22,24377428,302097
84017197,US,1/18/22,24749706,303036
84017199,US,1/19/22,25074898,303746
84017201,US,1/20/22,25389928,304666
84017203,US,1/21/22,25706568,305593
84018001,US,1/22/22,25809127,305761
84018003,US,1/23/22,26029521,305906
84018005,US,1/24/22,26368641,306641
84018007,US,1/25/22,26583350,307895
84018009,US,1/26/22,26761761,308899
84018011,US,1/27/22,26965140,309652
84018013,US,1/28/22,27213625,311390
84018015,US,1/29/22,27267624,311733
84018017,US,1/30/22,27404396,311800
84018019,US,1/31/22,27577451,312834
84018021,US,2/1/22,27689624,313660
84018023,US,2/2/22,27794192,314463
